Orkney Islands	http://statistics.gov.scot/id/statistical-geography/S12000023	UnitedKingdom/Scotland/Orkney	Orkney	administrative-area
Perth and Kinross	http://statistics.gov.scot/id/statistical-geography/S12000024	UnitedKingdom/Scotland/PerthandKinross	Perth and Kinross	administrative-area
Scottish Borders	http://statistics.gov.scot/id/statistical-geography/S12000026	UnitedKingdom/Scotland/ScottishBorders	Scottish Borders	administrative-area
Shetland Islands	http://statistics.gov.scot/id/statistical-geography/S12000027	UnitedKingdom/Scotland/ShetlandIslands	Shetland Islands	administrative-area
South Ayrshire	http://statistics.gov.scot/id/statistical-geography/S12000028	UnitedKingdom/Scotland/SouthAyrshire	South Ayrshire	administrative-area
South Lanarkshire	http://statistics.gov.scot/id/statistical-geography/S12000029	UnitedKingdom/Scotland/SouthLanarkshire	South Lanarkshire	administrative-area
Stirling	http://statistics.gov.scot/id/statistical-geography/S12000030	UnitedKingdom/Scotland/Stirling	Stirling	administrative-area
Aberdeen City	http://statistics.gov.scot/id/statistical-geography/S12000033	UnitedKingdom/Scotland/AberdeenCity	Aberdeen City	administrative-area
Aberdeenshire	http://statistics.gov.scot/id/statistical-geography/S12000034	UnitedKingdom/Scotland/Aberdeenshire	Aberdeenshire	administrative-area
Argyll and Bute	http://statistics.gov.scot/id/statistical-geography/S12000035	UnitedKingdom/Scotland/ArgyllandBute	Argyll and Bute	administrative-area
City of Edinburgh	http://statistics.gov.scot/id/statistical-geography/S12000036	UnitedKingdom/Scotland/Edinburgh	Edinburgh	administrative-area
Renfrewshire	http://statistics.gov.scot/id/statistical-geography/S12000038	UnitedKingdom/Scotland/Renfrewshire	Renfrewshire	administrative-area
West Dunbartonshire	http://statistics.gov.scot/id/statistical-geography/S12000039	UnitedKingdom/Scotland/WestDunbartonshire	West Dunbartonshire	administrative-area
West Lothian	http://statistics.gov.scot/id/statistical-geography/S12000040	UnitedKingdom/Scotland/WestLothian	West Lothian	administrative-area
