City of Edinburgh	http://statistics.gov.scot/id/statistical-geography/S12000036	UnitedKingdom/Scotland/Edinburgh	administrative-area
Renfrewshire	http://statistics.gov.scot/id/statistical-geography/S12000038	UnitedKingdom/Scotland/Renfrewshire	administrative-area
West Dunbartonshire	http://statistics.gov.scot/id/statistical-geography/S12000039	UnitedKingdom/Scotland/WestDunbartonshire/WestDunbartonshire	non-administrative-area
West Lothian	http://statistics.gov.scot/id/statistical-geography/S12000040	UnitedKingdom/Scotland/WestLothian/WestLothian	non-administrative-area
Angus	http://statistics.gov.scot/id/statistical-geography/S12000041	UnitedKingdom/Scotland/Angus	administrative-area
Dundee City	http://statistics.gov.scot/id/statistical-geography/S12000042	UnitedKingdom/Scotland/DundeeCity	administrative-area
North Lanarkshire	http://statistics.gov.scot/id/statistical-geography/S12000044	UnitedKingdom/Scotland/NorthLanarkshire/NorthLanarkshire	non-administrative-area
East Dunbartonshire	http://statistics.gov.scot/id/statistical-geography/S12000045	UnitedKingdom/Scotland/EastDunbartonshire/EastDunbartonshire	non-administrative-area
Glasgow City	http://statistics.gov.scot/id/statistical-geography/S12000046	UnitedKingdom/Scotland/GlasgowCity	administrative-area
Aberdeen Central	http://statistics.gov.scot/id/statistical-geography/S16000074	World/tmp/AberdeenCentral	non-administrative-area
Aberdeen Donside	http://statistics.gov.scot/id/statistical-geography/S16000075	UnitedKingdom/AberdeenCity/Aberdeen/BridgeofDon/NorthDonsideRoad	administrative-area
Aberdeen South and North Kincardine	http://statistics.gov.scot/id/statistical-geography/S16000076	UnitedKingdom/Angus/Montrose/Montrose/NorthStreet	administrative-area
Aberdeenshire East	http://statistics.gov.scot/id/statistical-geography/S16000077	UnitedKingdom/Scotland/Aberdeenshire/AberdeenshireEast	non-administrative-area
Aberdeenshire West	http://statistics.gov.scot/id/statistical-geography/S16000078	UnitedKingdom/Scotland/Aberdeenshire/AberdeenshireWest	non-administrative-area
Airdrie and Shotts	http://statistics.gov.scot/id/statistical-geography/S16000079	UnitedKingdom/NorthLanarkshire/Motherwell/AirdrieandShotts	administrative-area
Almond Valley	http://statistics.gov.scot/id/statistical-geography/S16000080	UnitedStates/Maryland/CarrollCounty/4,Woolerys/AlmondValley	administrative-area
Angus North and Mearns	http://statistics.gov.scot/id/statistical-geography/S16000081	UnitedKingdom/Angus/Montrose/Montrose/MearnsDrive	administrative-area
Angus South	http://statistics.gov.scot/id/statistical-geography/S16000082	UnitedKingdom/Scotland/Angus/AngusSouth	non-administrative-area
Argyll and Bute	http://statistics.gov.scot/id/statistical-geography/S16000083	UnitedKingdom/Scotland/ArgyllandBute	administrative-area
Ayr	http://statistics.gov.scot/id/statistical-geography/S16000084	UnitedKingdom/Scotland/SouthAyrshire/Ayr	administrative-area
Banffshire and Buchan Coast	http://statistics.gov.scot/id/statistical-geography/S16000085	World/tmp/BanffshireandBuchanCoast	non-administrative-area
Caithness	http://statistics.gov.scot/id/statistical-geography/S16000086	Canada/NewBrunswick/CharlotteCounty/SaintGeorge/Caithness	administrative-area
Carrick	http://statistics.gov.scot/id/statistical-geography/S16000087	Ireland/Donegal/CountyDonegal/Carrick	administrative-area
Clackmannanshire and Dunblane	http://statistics.gov.scot/id/statistical-geography/S16000088	UnitedKingdom/Dunblane	administrative-area
Clydebank and Milngavie	http://statistics.gov.scot/id/statistical-geography/S16000089	UnitedKingdom/EastDunbartonshire/Glasgow/Bearsden/MilngavieRoad	administrative-area
Clydesdale	http://statistics.gov.scot/id/statistical-geography/S16000090	UnitedKingdom/CheshireWestandChester/EllesmerePort/EllesmerePort/Clydesdale	administrative-area
Coatbridge and Chryston	http://statistics.gov.scot/id/statistical-geography/S16000091	UnitedKingdom/NorthLanarkshire/Glasgow/CoatbridgeRoad	administrative-area
Cowdenbeath	http://statistics.gov.scot/id/statistical-geography/S16000092	UnitedKingdom/Scotland/Fife/Cowdenbeath	administrative-area
Cumbernauld and Kilsyth	http://statistics.gov.scot/id/statistical-geography/S16000093	UnitedKingdom/Falkirk/Bonnybridge/KilsythRoad	administrative-area
Cunninghame North	http://statistics.gov.scot/id/statistical-geography/S16000094	UnitedKingdom/NorthAyrshire/Irvine/Irvine/CunninghameHouse/CunninghameNorth	non-administrative-area
Cunninghame South	http://statistics.gov.scot/id/statistical-geography/S16000095	UnitedKingdom/NorthAyrshire/Irvine/Irvine/CunninghameHouse/CunninghameSouth	non-administrative-area
Dumbarton	http://statistics.gov.scot/id/statistical-geography/S16000096	UnitedKingdom/Scotland/WestDunbartonshire/Dumbarton	administrative-area
Dumfriesshire	http://statistics.gov.scot/id/statistical-geography/S16000097	UnitedKingdom/DumfriesandGalloway/Lockerbie/Dumfriesshire	administrative-area
Dundee City East	http://statistics.gov.scot/id/statistical-geography/S16000098	UnitedKingdom/Scotland/DundeeCity/DundeeCityEast	non-administrative-area
Dundee City West	http://statistics.gov.scot/id/statistical-geography/S16000099	UnitedKingdom/Scotland/DundeeCity/DundeeCityWest	non-administrative-area
Dunfermline	http://statistics.gov.scot/id/statistical-geography/S16000100	UnitedKingdom/Scotland/Fife/Dunfermline	administrative-area
East Kilbride	http://statistics.gov.scot/id/statistical-geography/S16000101	UnitedKingdom/Scotland/SouthLanarkshire/Glasgow/EastKilbride/EastKilbride	non-administrative-area
East Lothian	http://statistics.gov.scot/id/statistical-geography/S16000102	UnitedKingdom/Scotland/EastLothian/EastLothian	non-administrative-area
Eastwood	http://statistics.gov.scot/id/statistical-geography/S16000103	UnitedKingdom/England/Nottinghamshire/Broxtowe/Nottingham/Eastwood/Eastwood	non-administrative-area
Edinburgh Central	http://statistics.gov.scot/id/statistical-geography/S16000104	UnitedKingdom/Scotland/Edinburgh	administrative-area
Edinburgh Eastern	http://statistics.gov.scot/id/statistical-geography/S16000105	World/tmp/EdinburghEastern	non-administrative-area
Edinburgh Northern and Leith	http://statistics.gov.scot/id/statistical-geography/S16000106	UnitedKingdom/Scotland/Edinburgh/Edinburgh/Edinburgh/Leith	administrative-area
Edinburgh Pentlands	http://statistics.gov.scot/id/statistical-geography/S16000107	UnitedKingdom/Midlothian/Edinburgh/Damhead/PentlandHouse	administrative-area
Edinburgh Southern	http://statistics.gov.scot/id/statistical-geography/S16000108	World/tmp/EdinburghSouthern	non-administrative-area
Edinburgh Western	http://statistics.gov.scot/id/statistical-geography/S16000109	UnitedKingdom/Edinburgh/Edinburgh/Edinburgh/WesternTerrace	administrative-area
Na h-Eileanan an Iar	http://statistics.gov.scot/id/statistical-geography/S16000110	UnitedKingdom/Scotland/Nah-EileanananIar	administrative-area
Ettrick	http://statistics.gov.scot/id/statistical-geography/S16000111	UnitedKingdom/Scotland/ScottishBorders/Selkirk/Ettrick	administrative-area
Falkirk East	http://statistics.gov.scot/id/statistical-geography/S16000112	UnitedKingdom/Scotland/Falkirk/FalkirkEast	non-administrative-area
Falkirk West	http://statistics.gov.scot/id/statistical-geography/S16000113	UnitedKingdom/Scotland/Falkirk/FalkirkWest	non-administrative-area
Galloway and West Dumfries	http://statistics.gov.scot/id/statistical-geography/S16000114	UnitedKingdom/Scotland/DumfriesandGalloway	administrative-area
Glasgow Anniesland	http://statistics.gov.scot/id/statistical-geography/S16000115	UnitedKingdom/Scotland/GlasgowCity/Glasgow/Glasgow/Anniesland	administrative-area
Glasgow Cathcart	http://statistics.gov.scot/id/statistical-geography/S16000116	UnitedKingdom/Scotland/GlasgowCity/Glasgow/Glasgow/Cathcart	administrative-area
Glasgow Kelvin	http://statistics.gov.scot/id/statistical-geography/S16000117	UnitedKingdom/Scotland/SouthLanarkshire/Glasgow/EastKilbride/KelvinIndustrialEstate	administrative-area
Glasgow Maryhill and Springburn	http://statistics.gov.scot/id/statistical-geography/S16000118	UnitedKingdom/Glasgow/MaryhillRoad	administrative-area
Glasgow Pollok	http://statistics.gov.scot/id/statistical-geography/S16000119	UnitedKingdom/Scotland/GlasgowCity/Glasgow/Glasgow/Pollok	administrative-area
Glasgow Provan	http://statistics.gov.scot/id/statistical-geography/S16000120	UnitedKingdom/GlasgowCity/Glasgow/Glasgow/Easterhouse/AuchinleaRoad/AuchinleaPark/ProvanHall	administrative-area
Glasgow Shettleston	http://statistics.gov.scot/id/statistical-geography/S16000121	UnitedKingdom/Scotland/GlasgowCity/Glasgow/Glasgow/Shettleston	administrative-area
Glasgow Southside	http://statistics.gov.scot/id/statistical-geography/S16000122	UnitedKingdom/GlasgowCity/Glasgow/Glasgow/SouthsideCrescent	administrative-area
Greenock and Inverclyde	http://statistics.gov.scot/id/statistical-geography/S16000123	UnitedKingdom/Scotland/Inverclyde/Greenock	administrative-area
Hamilton	http://statistics.gov.scot/id/statistical-geography/S16000124	World/tmp/Hamilton	non-administrative-area
Inverness and Nairn	http://statistics.gov.scot/id/statistical-geography/S16000125	UnitedKingdom/Highland/Nairn/Nairn/InvernessRoad	administrative-area
Kilmarnock and Irvine Valley	http://statistics.gov.scot/id/statistical-geography/S16000126	UnitedKingdom/EastAyrshire/Kilmarnock/IrvineRoad	administrative-area
Kirkcaldy	http://statistics.gov.scot/id/statistical-geography/S16000127	UnitedKingdom/Scotland/Fife/Kirkcaldy	administrative-area
Linlithgow	http://statistics.gov.scot/id/statistical-geography/S16000128	UnitedKingdom/Scotland/WestLothian/Linlithgow	administrative-area
Mid Fife and Glenrothes	http://statistics.gov.scot/id/statistical-geography/S16000129	UnitedKingdom/Fife/Lochgelly/Cardenden/MiddleCottage	administrative-area
Midlothian North and Musselburgh	http://statistics.gov.scot/id/statistical-geography/S16000130	UnitedKingdom/Scotland/EastLothian/Musselburgh	administrative-area
Midlothian South	http://statistics.gov.scot/id/statistical-geography/S16000131	UnitedKingdom/Scotland/Midlothian/MidlothianSouth	non-administrative-area
Moray	http://statistics.gov.scot/id/statistical-geography/S16000132	UnitedKingdom/Scotland/Moray	administrative-area
Motherwell and Wishaw	http://statistics.gov.scot/id/statistical-geography/S16000133	UnitedKingdom/NorthLanarkshire/Motherwell/Newhouse/MotherwellRoad	administrative-area
North East Fife	http://statistics.gov.scot/id/statistical-geography/S16000134	UnitedKingdom/Scotland/Fife/NorthEastFife	non-administrative-area
Orkney Islands	http://statistics.gov.scot/id/statistical-geography/S16000135	UnitedKingdom/Scotland/Orkney	administrative-area
Paisley	http://statistics.gov.scot/id/statistical-geography/S16000136	UnitedKingdom/Scotland/Renfrewshire/Paisley	administrative-area
Perthshire North	http://statistics.gov.scot/id/statistical-geography/S16000137	UnitedStates/Mississippi/BolivarCounty/Perthshire/PerthshireNorth	non-administrative-area
Perthshire South and Kinross-shire	http://statistics.gov.scot/id/statistical-geography/S16000138	World/tmp/PerthshireSouthandKinross-shire	non-administrative-area
Renfrewshire North and West	http://statistics.gov.scot/id/statistical-geography/S16000139	UnitedKingdom/Scotland/Renfrewshire/RenfrewshireNorthandWest	non-administrative-area
Renfrewshire South	http://statistics.gov.scot/id/statistical-geography/S16000140	UnitedKingdom/Scotland/Renfrewshire/RenfrewshireSouth	non-administrative-area
Rutherglen	http://statistics.gov.scot/id/statistical-geography/S16000141	UnitedKingdom/Scotland/SouthLanarkshire/Glasgow/Rutherglen	administrative-area
Shetland Islands	http://statistics.gov.scot/id/statistical-geography/S16000142	UnitedKingdom/Scotland/ShetlandIslands	administrative-area
Skye	http://statistics.gov.scot/id/statistical-geography/S16000143	UnitedKingdom/Highland/Skye	administrative-area
Stirling	http://statistics.gov.scot/id/statistical-geography/S16000144	UnitedKingdom/Scotland/Stirling	administrative-area
Strathkelvin and Bearsden	http://statistics.gov.scot/id/statistical-geography/S16000145	World/tmp/StrathkelvinandBearsden	non-administrative-area
Uddingston and Bellshill	http://statistics.gov.scot/id/statistical-geography/S16000146	UnitedKingdom/NorthLanarkshire/Motherwell/BellshillRoad	administrative-area
Scotland	http://statistics.gov.scot/id/statistical-geography/S92000003	UnitedKingdom/Scotland	administrative-area
